epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5926,0.00925,3.91131,1.11564,0.0038,0.89881,0.12813,0.07906,0.00715,3.88796,0.92827,0.000249925,0.000249925,0.000249925
2,21.5936,0.01003,2.36556,1.10917,1,0.02816,0.72827,0.45319,0.00819,2.9671,1.02515,0.000501702,0.000501702,0.000501702
3,29.389,0.00952,1.61742,1.11006,0.94175,0.6285,0.76369,0.48282,0.00939,1.85673,1.14684,0.000748865,0.000748865,0.000748865
4,35.1065,0.00921,1.47731,1.13735,0.85197,0.80918,0.98102,0.64716,0.00852,1.08017,1.13306,0.000748237,0.000748237,0.000748237
5,41.8328,0.00902,1.3062,1.10412,0.88311,0.83587,0.96449,0.76445,0.00664,0.95087,1.04685,0.000741316,0.000741316,0.000741316
6,48.496,0.00865,1.19003,1.11009,0.90802,0.83123,0.9806,0.66716,0.00759,0.93164,1.07241,0.000734395,0.000734395,0.000734395
7,54.1172,0.00817,1.11454,1.0917,0.86572,0.83701,0.95179,0.66168,0.00775,0.87375,1.1477,0.000727474,0.000727474,0.000727474
8,61.9641,0.00841,1.09452,1.11348,0.92689,0.99705,0.98469,0.71672,0.00664,0.85939,1.07034,0.000720553,0.000720553,0.000720553
9,67.5842,0.00827,1.02793,1.09658,0.88065,0.9961,0.97748,0.59554,0.00948,0.84762,1.24639,0.000713632,0.000713632,0.000713632
10,74.9049,0.00797,0.95464,1.08924,0.87789,0.991,0.97671,0.70139,0.00687,0.71922,1.06161,0.000706711,0.000706711,0.000706711
11,80.8211,0.00824,0.96671,1.10503,0.96676,0.96977,0.995,0.68378,0.0072,0.77951,1.13479,0.00069979,0.00069979,0.00069979
12,86.7464,0.00799,0.91675,1.09534,0.88739,1,0.995,0.66674,0.0074,0.76698,1.16858,0.000692869,0.000692869,0.000692869
13,94.1808,0.0079,0.88495,1.09791,0.90329,0.99776,0.98469,0.69774,0.00734,0.65594,1.10888,0.000685948,0.000685948,0.000685948
14,99.7177,0.00765,0.85037,1.08113,0.97443,0.94403,0.98469,0.68591,0.00706,0.62924,1.09726,0.000679027,0.000679027,0.000679027
15,107.518,0.00773,0.82359,1.07204,0.87956,0.92532,0.9225,0.67808,0.00723,0.70974,1.08235,0.000672106,0.000672106,0.000672106
16,113.167,0.00755,0.80764,1.06446,0.94078,0.98914,0.98469,0.71273,0.00695,0.60567,1.10794,0.000665185,0.000665185,0.000665185
17,119.583,0.00736,0.79145,1.06541,0.94291,1,0.98469,0.679,0.00641,0.63539,1.11826,0.000658264,0.000658264,0.000658264
18,126.608,0.00719,0.75186,1.03305,0.89056,0.98332,0.99183,0.7266,0.00639,0.68088,1.08259,0.000651343,0.000651343,0.000651343
19,132.225,0.00713,0.75491,1.06704,0.85814,0.95637,0.92357,0.68176,0.00628,0.7673,1.08154,0.000644422,0.000644422,0.000644422
20,140.134,0.00752,0.75034,1.07787,0.96935,0.99389,0.995,0.70101,0.00744,0.66216,1.1142,0.000637501,0.000637501,0.000637501
21,145.709,0.00718,0.72951,1.06312,0.95183,0.95833,0.98469,0.69249,0.00768,0.61508,1.14544,0.00063058,0.00063058,0.00063058
22,152.641,0.00699,0.72176,1.02832,0.93385,0.99445,0.98469,0.75021,0.006,0.56618,1.05302,0.000623659,0.000623659,0.000623659
23,161.125,0.00728,0.71721,1.05782,0.93053,0.97352,0.98469,0.74086,0.00587,0.55065,1.03482,0.000616738,0.000616738,0.000616738
24,166.617,0.00704,0.69584,1.03474,0.92934,0.98046,0.98469,0.7314,0.0058,0.56504,1.02597,0.000609817,0.000609817,0.000609817
25,174.398,0.00695,0.69659,1.02497,0.91329,1,0.98469,0.71569,0.006,0.55287,1.05847,0.000602896,0.000602896,0.000602896
26,180.003,0.00701,0.67604,1.04461,0.90649,1,0.98469,0.7025,0.00624,0.56593,1.06675,0.000595975,0.000595975,0.000595975
27,186.794,0.00667,0.65806,1.02839,0.96479,0.94099,0.98469,0.64316,0.00869,0.60245,1.25505,0.000589054,0.000589054,0.000589054
28,193.811,0.00709,0.6768,1.05915,0.93528,1,0.97988,0.70689,0.00665,0.53969,1.08268,0.000582133,0.000582133,0.000582133
29,199.363,0.00671,0.65427,1.02759,0.92983,0.99254,0.98469,0.75564,0.00592,0.55366,1.06094,0.000575212,0.000575212,0.000575212
30,207.065,0.00684,0.65136,1.03122,0.93571,0.96808,0.98469,0.73708,0.00602,0.52181,1.05224,0.000568291,0.000568291,0.000568291
31,212.591,0.00656,0.63383,1.00567,0.92262,0.99485,0.995,0.73199,0.00599,0.51161,1.0449,0.00056137,0.00056137,0.00056137
32,219.118,0.00649,0.62308,1.0079,0.94142,1,0.96391,0.70504,0.00593,0.51645,1.0646,0.000554449,0.000554449,0.000554449
33,225.945,0.00668,0.6269,1.0261,0.91777,1,0.98469,0.73724,0.00581,0.48641,1.05025,0.000547528,0.000547528,0.000547528
34,231.473,0.0065,0.60809,1.01238,0.94189,1,0.98469,0.72365,0.00583,0.47829,1.07356,0.000540607,0.000540607,0.000540607
35,239.053,0.00643,0.62526,1.02249,0.94101,1,0.98469,0.74725,0.0055,0.48505,1.04305,0.000533686,0.000533686,0.000533686
36,244.481,0.00629,0.60087,1.01005,0.94313,1,0.98469,0.71719,0.0061,0.50506,1.11319,0.000526765,0.000526765,0.000526765
37,251.331,0.00651,0.60845,1.01356,0.93084,0.99187,0.98469,0.729,0.0059,0.51158,1.08454,0.000519844,0.000519844,0.000519844
38,257.631,0.0063,0.58712,0.99446,0.94646,1,0.98469,0.70551,0.00581,0.47677,1.07486,0.000512923,0.000512923,0.000512923
39,263.137,0.00639,0.5957,1.00631,0.93125,1,0.98469,0.71752,0.00608,0.45954,1.07971,0.000506002,0.000506002,0.000506002
40,270.952,0.00621,0.59438,1.0062,0.91351,1,0.98469,0.74258,0.00518,0.46585,1.02318,0.000499081,0.000499081,0.000499081
41,276.474,0.00604,0.55634,0.98605,0.93677,1,0.98315,0.76952,0.00515,0.47437,1.01607,0.00049216,0.00049216,0.00049216
42,283.097,0.00633,0.57584,1.00724,0.95125,1,0.98469,0.74105,0.00531,0.45715,1.02133,0.000485239,0.000485239,0.000485239
43,289.685,0.00606,0.55572,0.98379,0.91841,0.99426,0.98469,0.73963,0.0057,0.46671,1.04149,0.000478318,0.000478318,0.000478318
44,295.345,0.00626,0.57167,0.99587,0.96282,0.95776,0.98469,0.74473,0.0057,0.46942,1.04299,0.000471397,0.000471397,0.000471397
45,303.062,0.00605,0.54092,0.98716,0.94789,1,0.98469,0.7531,0.00596,0.47393,1.05218,0.000464476,0.000464476,0.000464476
46,308.52,0.00601,0.55141,0.9932,0.95439,1,0.98469,0.76463,0.005,0.45595,0.99442,0.000457555,0.000457555,0.000457555
47,315.593,0.00597,0.53586,0.97674,0.94408,1,0.98469,0.77123,0.00501,0.44218,1.00739,0.000450634,0.000450634,0.000450634
48,321.813,0.00592,0.53669,0.98277,0.9316,0.996,0.98469,0.73274,0.00515,0.44204,1.0242,0.000443713,0.000443713,0.000443713
49,327.335,0.00594,0.54021,0.97512,0.96918,0.95358,0.98469,0.7375,0.00547,0.44447,1.06284,0.000436792,0.000436792,0.000436792
50,335.047,0.00582,0.52055,0.97774,0.95331,0.95833,0.98469,0.75556,0.00552,0.44698,1.02948,0.000429871,0.000429871,0.000429871
51,340.475,0.00583,0.53152,0.97336,0.94669,0.96564,0.98469,0.74903,0.0051,0.43044,1.01226,0.00042295,0.00042295,0.00042295
52,347.652,0.00588,0.534,0.97467,0.97297,0.95833,0.98469,0.74997,0.00521,0.41438,1.05102,0.000416029,0.000416029,0.000416029
53,353.699,0.00573,0.50881,0.97484,0.94093,0.99486,0.98469,0.75699,0.0054,0.43411,1.02792,0.000409108,0.000409108,0.000409108
54,359.36,0.00552,0.50072,0.96029,0.9361,0.99315,0.98469,0.73872,0.0055,0.42302,1.0347,0.000402187,0.000402187,0.000402187
