epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9713,1.30233,3.38994,1.06023,0.00328,1,0.22985,0.08244,0.82906,3.78644,0.88088,0.00026672,0.00026672,0.00026672
2,3.81111,1.23756,2.05494,1.00988,0.00298,1,0.31218,0.19133,0.89372,3.34914,0.87283,0.000544664,0.000544664,0.000544664
3,5.68993,1.30958,1.30192,1.05536,0.00301,1,0.17828,0.10707,1.07969,3.30461,0.96507,0.000816997,0.000816997,0.000816997
4,7.41743,1.29721,1.16459,1.09473,0.00299,1,0.56438,0.37075,1.04829,3.00429,1.01152,0.00108372,0.00108372,0.00108372
5,9.17642,1.28644,1.10944,1.09904,0.0081,1,0.91944,0.66273,0.93074,2.70352,0.98453,0.00134483,0.00134483,0.00134483
6,10.8779,1.23173,1.05235,1.07205,0.6146,0.37365,0.55643,0.36737,1.39439,2.2665,1.15632,0.00158448,0.00158448,0.00158448
7,12.5638,1.30619,1.03684,1.11587,0.18957,0.45773,0.27916,0.16113,1.47884,3.02362,1.22543,0.00156798,0.00156798,0.00156798
8,14.3677,1.18441,0.97779,1.0856,0.89398,0.94444,0.97889,0.61085,1.32303,1.16139,1.16471,0.00155148,0.00155148,0.00155148
9,16.1505,1.15482,0.93612,1.06398,0.97903,0.94374,0.9895,0.64012,1.38329,1.03393,1.18155,0.00153497,0.00153497,0.00153497
10,17.9848,1.18337,0.90931,1.063,0.98916,0.94034,0.9895,0.64213,1.3554,0.93047,1.23264,0.00151847,0.00151847,0.00151847
11,19.8009,1.1664,0.90773,1.08891,0.9931,1,0.995,0.69304,1.07761,0.83871,1.17396,0.00150197,0.00150197,0.00150197
12,21.6686,1.1704,0.89417,1.09818,0.97725,1,0.995,0.74479,0.95959,0.76147,1.05084,0.00148546,0.00148546,0.00148546
13,23.5012,1.10097,0.8095,1.0505,0.98897,1,0.995,0.76234,0.9312,0.7616,1.01212,0.00146896,0.00146896,0.00146896
14,25.3322,1.10701,0.7962,1.05411,0.98749,1,0.995,0.72292,1.04798,0.78782,1.01868,0.00145246,0.00145246,0.00145246
15,27.1602,1.05306,0.73441,1.03163,0.99376,1,0.995,0.75987,0.97901,0.68314,1.004,0.00143595,0.00143595,0.00143595
16,29.0067,1.06155,0.77348,1.06556,0.98977,1,0.995,0.63898,1.15179,0.79991,1.0419,0.00141945,0.00141945,0.00141945
17,30.8244,1.05172,0.75784,1.01912,0.98322,0.99725,0.995,0.70374,1.01248,0.69676,1.00088,0.00140295,0.00140295,0.00140295
18,32.6292,1.02531,0.74882,1.01816,0.96693,0.99553,0.995,0.78616,0.81285,0.63986,0.97579,0.00138644,0.00138644,0.00138644
19,34.4501,1.07749,0.71918,1.01008,0.99138,1,0.995,0.80089,0.79585,0.65463,0.95799,0.00136994,0.00136994,0.00136994
20,36.313,1.00708,0.68779,1.01363,0.9806,1,0.995,0.74265,0.92669,0.70588,1.005,0.00135344,0.00135344,0.00135344
21,38.1216,1.05177,0.71129,1.03506,0.99404,1,0.995,0.77986,0.79331,0.64032,0.93989,0.00133693,0.00133693,0.00133693
22,39.9881,1.00596,0.66068,1.00542,0.99344,1,0.995,0.7672,0.92335,0.61836,0.99261,0.00132043,0.00132043,0.00132043
23,41.8341,0.97067,0.6558,0.98383,0.99115,1,0.995,0.80728,0.76451,0.56809,0.95283,0.00130393,0.00130393,0.00130393
24,43.7033,0.9083,0.63539,0.97812,0.98945,0.99193,0.995,0.79029,0.8041,0.64865,0.95049,0.00128742,0.00128742,0.00128742
25,45.5201,0.90916,0.62319,0.97649,0.98922,1,0.995,0.79855,0.81401,0.594,0.9476,0.00127092,0.00127092,0.00127092
26,47.3501,0.94339,0.63432,0.97811,0.94677,1,0.995,0.8221,0.68937,0.51167,0.9003,0.00125442,0.00125442,0.00125442
27,49.2017,0.92328,0.6337,0.98902,0.98802,1,0.995,0.81095,0.72905,0.51039,0.91201,0.00123791,0.00123791,0.00123791
28,51.0591,0.88115,0.62222,0.97729,0.9902,1,0.995,0.81536,0.74002,0.46806,0.9154,0.00122141,0.00122141,0.00122141
29,52.8895,0.88981,0.60623,0.99613,0.98533,1,0.995,0.83405,0.68309,0.47514,0.90835,0.00120491,0.00120491,0.00120491
30,54.742,0.8517,0.59071,0.96323,0.99099,1,0.995,0.7399,1.01428,0.58789,0.998,0.0011884,0.0011884,0.0011884
31,56.5877,0.90514,0.60362,0.95426,0.99402,1,0.995,0.77055,0.83142,0.53627,0.9341,0.0011719,0.0011719,0.0011719
32,58.4391,0.92187,0.60007,0.97945,0.9829,1,0.995,0.80296,0.76314,0.51539,0.92601,0.0011554,0.0011554,0.0011554
33,60.2577,0.89155,0.58438,0.97897,0.99259,1,0.995,0.84394,0.71372,0.50225,0.9076,0.00113889,0.00113889,0.00113889
34,62.0944,0.84207,0.55679,0.95073,0.99164,1,0.995,0.83357,0.6911,0.48371,0.90737,0.00112239,0.00112239,0.00112239
35,63.9162,0.85002,0.5519,0.96552,0.98891,1,0.995,0.80336,0.74152,0.54053,0.91487,0.00110589,0.00110589,0.00110589
36,65.786,0.83108,0.55637,0.95598,0.9872,1,0.995,0.79414,0.77646,0.4776,0.96562,0.00108938,0.00108938,0.00108938
37,67.6423,0.76148,0.53241,0.92282,0.97268,1,0.995,0.82675,0.69082,0.48011,0.93986,0.00107288,0.00107288,0.00107288
38,69.4991,0.82839,0.54866,0.93283,0.98496,1,0.995,0.82284,0.75369,0.46236,0.947,0.00105638,0.00105638,0.00105638
39,71.3701,0.83351,0.54653,0.95925,0.94982,1,0.995,0.83495,0.66626,0.44413,0.91541,0.00103987,0.00103987,0.00103987
40,73.2673,0.8242,0.53484,0.9477,0.98993,1,0.995,0.79079,0.77235,0.52412,0.94394,0.00102337,0.00102337,0.00102337
41,74.9903,0.80811,0.53044,0.94514,0.9924,1,0.995,0.78607,0.78105,0.49502,0.9203,0.00100687,0.00100687,0.00100687
42,76.7374,0.82518,0.53493,0.96525,0.98796,1,0.995,0.83937,0.71682,0.435,0.89651,0.000990365,0.000990365,0.000990365
43,78.4512,0.7474,0.49596,0.92269,0.99195,1,0.995,0.81742,0.72026,0.45294,0.91467,0.000973861,0.000973861,0.000973861
44,80.2878,0.76688,0.51791,0.95301,0.9938,1,0.995,0.816,0.70221,0.46299,0.89743,0.000957358,0.000957358,0.000957358
45,82.1474,0.77619,0.51696,0.9206,0.99415,1,0.995,0.81585,0.76249,0.44756,0.90072,0.000940855,0.000940855,0.000940855
46,83.9762,0.73368,0.48957,0.91597,0.98622,1,0.995,0.81002,0.76513,0.43255,0.91246,0.000924352,0.000924352,0.000924352
47,85.7924,0.78668,0.51827,0.93033,0.99328,1,0.995,0.77947,0.80627,0.4567,0.9525,0.000907848,0.000907848,0.000907848
48,87.6144,0.7253,0.48791,0.90158,0.98324,1,0.995,0.81906,0.68651,0.43151,0.87861,0.000891345,0.000891345,0.000891345
49,89.3479,0.77891,0.50724,0.9389,0.98559,1,0.995,0.83909,0.69483,0.45614,0.90267,0.000874842,0.000874842,0.000874842
50,91.0804,0.78651,0.49766,0.9197,0.99401,1,0.995,0.85329,0.6106,0.42344,0.88141,0.000858338,0.000858338,0.000858338
51,92.8416,0.73298,0.48801,0.92075,0.99073,1,0.995,0.84707,0.64784,0.4134,0.89605,0.000841835,0.000841835,0.000841835
52,94.5965,0.71358,0.47022,0.91661,0.99173,1,0.995,0.84118,0.69021,0.39656,0.88638,0.000825332,0.000825332,0.000825332
53,96.3304,0.75921,0.49114,0.93463,0.99457,1,0.995,0.82429,0.77578,0.41765,0.92488,0.000808828,0.000808828,0.000808828
54,98.0615,0.77448,0.47996,0.93189,0.99389,1,0.995,0.84011,0.6714,0.39711,0.89502,0.000792325,0.000792325,0.000792325
55,99.7908,0.72682,0.48174,0.91446,0.99165,1,0.995,0.81275,0.68249,0.40485,0.91759,0.000775822,0.000775822,0.000775822
56,101.551,0.70306,0.46282,0.91821,0.99461,1,0.995,0.81808,0.72035,0.39442,0.901,0.000759318,0.000759318,0.000759318
57,103.291,0.71178,0.45858,0.92659,0.99199,1,0.995,0.81994,0.74076,0.44069,0.91397,0.000742815,0.000742815,0.000742815
58,105.029,0.66383,0.43775,0.90433,0.99346,1,0.995,0.85762,0.62435,0.39471,0.88935,0.000726312,0.000726312,0.000726312
59,106.783,0.74181,0.48041,0.9286,0.99408,1,0.995,0.84478,0.65644,0.40024,0.90269,0.000709809,0.000709809,0.000709809
60,108.552,0.70043,0.46225,0.91489,0.99143,1,0.995,0.85598,0.63977,0.39164,0.89284,0.000693305,0.000693305,0.000693305
61,110.28,0.68096,0.44861,0.91312,0.99435,1,0.995,0.85856,0.61644,0.36928,0.88272,0.000676802,0.000676802,0.000676802
62,112.027,0.70006,0.45086,0.93717,0.99383,1,0.995,0.85116,0.64276,0.36641,0.8835,0.000660299,0.000660299,0.000660299
63,113.763,0.72096,0.4577,0.92322,0.99227,1,0.995,0.86788,0.65111,0.3811,0.89291,0.000643795,0.000643795,0.000643795
64,115.578,0.67703,0.44101,0.91517,0.99204,1,0.995,0.84094,0.65324,0.43693,0.8963,0.000627292,0.000627292,0.000627292
65,117.304,0.69157,0.4533,0.92378,0.98605,1,0.995,0.8173,0.73516,0.44318,0.93283,0.000610789,0.000610789,0.000610789
66,119.036,0.67549,0.43819,0.9202,0.99022,1,0.995,0.82361,0.67905,0.39339,0.9244,0.000594286,0.000594286,0.000594286
67,120.765,0.73699,0.46989,0.95808,0.984,1,0.995,0.86196,0.63943,0.37615,0.90441,0.000577782,0.000577782,0.000577782
68,122.526,0.67733,0.43043,0.8985,0.9772,1,0.995,0.83163,0.67657,0.3886,0.88921,0.000561279,0.000561279,0.000561279
69,124.25,0.65052,0.42628,0.9188,0.98481,1,0.995,0.84284,0.69744,0.40932,0.8837,0.000544776,0.000544776,0.000544776
70,125.986,0.68413,0.43623,0.88822,0.99146,1,0.995,0.84996,0.65024,0.36251,0.88004,0.000528272,0.000528272,0.000528272
71,127.708,0.62807,0.42186,0.88028,0.9921,1,0.995,0.85888,0.60958,0.35238,0.87886,0.000511769,0.000511769,0.000511769
72,129.465,0.64281,0.40359,0.91008,0.99286,1,0.995,0.85533,0.64133,0.35459,0.87845,0.000495266,0.000495266,0.000495266
73,131.199,0.60708,0.40567,0.89691,0.99204,1,0.995,0.85561,0.60176,0.35043,0.8766,0.000478762,0.000478762,0.000478762
74,132.937,0.60899,0.40509,0.89364,0.99151,1,0.995,0.86031,0.63437,0.37096,0.88544,0.000462259,0.000462259,0.000462259
75,134.669,0.6267,0.40618,0.87573,0.99258,1,0.995,0.8429,0.67366,0.37274,0.88826,0.000445756,0.000445756,0.000445756
76,136.435,0.63935,0.41852,0.90156,0.98995,1,0.995,0.84224,0.64379,0.39969,0.88785,0.000429253,0.000429253,0.000429253
77,138.181,0.63081,0.40232,0.88929,0.98935,1,0.995,0.87115,0.65114,0.3588,0.88139,0.000412749,0.000412749,0.000412749
78,139.922,0.59735,0.38964,0.87341,0.99254,1,0.995,0.87226,0.58328,0.36487,0.8758,0.000396246,0.000396246,0.000396246
79,141.663,0.59925,0.39557,0.88705,0.99425,1,0.995,0.8946,0.55049,0.33662,0.86832,0.000379743,0.000379743,0.000379743
80,143.448,0.60648,0.3913,0.89514,0.99315,1,0.995,0.8582,0.5951,0.33253,0.86942,0.000363239,0.000363239,0.000363239
81,145.183,0.58515,0.39228,0.88474,0.99214,1,0.995,0.89146,0.5918,0.3491,0.86395,0.000346736,0.000346736,0.000346736
82,146.915,0.59972,0.39762,0.8783,0.99166,1,0.995,0.87218,0.55922,0.3486,0.85638,0.000330233,0.000330233,0.000330233
83,148.641,0.60844,0.39156,0.86344,0.99214,1,0.995,0.88545,0.5695,0.3338,0.86198,0.000313729,0.000313729,0.000313729
84,150.389,0.61124,0.38643,0.88186,0.99261,1,0.995,0.87902,0.56196,0.33242,0.86034,0.000297226,0.000297226,0.000297226
85,152.118,0.58383,0.3807,0.88883,0.99162,1,0.995,0.85734,0.57135,0.34923,0.8652,0.000280723,0.000280723,0.000280723
86,153.845,0.60872,0.40257,0.90111,0.99137,1,0.995,0.86843,0.61158,0.34021,0.86768,0.00026422,0.00026422,0.00026422
87,155.566,0.55219,0.37679,0.87174,0.99102,1,0.995,0.86094,0.59415,0.32971,0.86609,0.000247716,0.000247716,0.000247716
88,157.326,0.56907,0.38511,0.87256,0.99023,1,0.995,0.88034,0.5655,0.33324,0.86263,0.000231213,0.000231213,0.000231213
89,159.064,0.56327,0.37483,0.86788,0.99051,1,0.995,0.86822,0.59305,0.33276,0.86606,0.00021471,0.00021471,0.00021471
90,160.797,0.5691,0.37163,0.89673,0.99206,1,0.995,0.87202,0.60924,0.33524,0.86896,0.000198206,0.000198206,0.000198206
91,162.886,0.54008,0.37045,0.89235,0.99245,1,0.995,0.85889,0.60304,0.35028,0.8662,0.000181703,0.000181703,0.000181703
92,164.676,0.51227,0.36099,0.84415,0.99227,1,0.995,0.86043,0.61105,0.33103,0.86674,0.0001652,0.0001652,0.0001652
93,166.39,0.50614,0.35747,0.87132,0.99149,1,0.995,0.86185,0.62157,0.33186,0.87453,0.000148696,0.000148696,0.000148696
94,168.116,0.51253,0.349,0.87145,0.99122,1,0.995,0.86605,0.59785,0.32004,0.86872,0.000132193,0.000132193,0.000132193
95,169.867,0.48961,0.34467,0.85545,0.99226,1,0.995,0.86567,0.57833,0.34009,0.86647,0.00011569,0.00011569,0.00011569
96,171.634,0.5089,0.34694,0.85704,0.99239,1,0.995,0.87788,0.58561,0.34425,0.86274,9.91865e-05,9.91865e-05,9.91865e-05
97,173.373,0.46173,0.344,0.85462,0.99185,1,0.995,0.88396,0.59339,0.32833,0.8621,8.26832e-05,8.26832e-05,8.26832e-05
98,175.114,0.47944,0.34563,0.85782,0.9921,1,0.995,0.87543,0.60082,0.32826,0.86432,6.61799e-05,6.61799e-05,6.61799e-05
99,176.837,0.50461,0.33637,0.8597,0.99249,1,0.995,0.88219,0.5977,0.32312,0.86403,4.96766e-05,4.96766e-05,4.96766e-05
100,178.597,0.46684,0.33757,0.85241,0.9929,1,0.995,0.87826,0.59425,0.32404,0.86199,3.31733e-05,3.31733e-05,3.31733e-05
