epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5891,1.34994,4.01372,1.21333,0.73221,0.64116,0.78141,0.5893,0.89831,2.68857,0.97363,0.00011515,0.00011515,0.00011515
2,30.3284,1.17539,1.50266,1.09008,0.79596,0.80498,0.88723,0.66565,0.98674,1.17923,0.98214,0.000231214,0.000231214,0.000231214
3,41.5961,1.16501,1.11813,1.08902,0.86509,0.8924,0.95221,0.71016,1.05486,0.83326,0.99833,0.000345725,0.000345725,0.000345725
4,51.9571,1.16877,0.99735,1.10189,0.88199,0.87865,0.95223,0.70018,0.95491,0.86116,0.99961,0.000458685,0.000458685,0.000458685
5,61.9469,1.15802,0.9531,1.08902,0.85994,0.94858,0.97194,0.70995,1.00422,0.75091,1.03258,0.000570091,0.000570091,0.000570091
6,72.6859,1.12684,0.91462,1.09065,0.81177,0.91959,0.95241,0.66977,1.07187,0.8196,1.06171,0.000568596,0.000568596,0.000568596
7,83.2884,1.10879,0.87393,1.08979,0.88607,0.98197,0.97829,0.71509,0.98775,0.77625,1.05722,0.000564715,0.000564715,0.000564715
8,94.229,1.0889,0.80091,1.081,0.85642,0.92226,0.9513,0.71934,0.89768,0.6794,1.04474,0.000560834,0.000560834,0.000560834
9,104.995,1.09458,0.78227,1.08626,0.91977,0.96379,0.978,0.75994,0.88052,0.64361,1.00617,0.000556954,0.000556954,0.000556954
10,115.066,1.05271,0.74511,1.07236,0.91503,0.96542,0.97899,0.77676,0.82684,0.649,0.99253,0.000553073,0.000553073,0.000553073
11,125.246,1.02739,0.72532,1.05413,0.88663,0.9798,0.98047,0.70669,1.03568,0.71421,1.09261,0.000549192,0.000549192,0.000549192
12,135.992,1.02859,0.70356,1.05154,0.92691,0.99032,0.98746,0.7681,0.81929,0.59782,0.97838,0.000545311,0.000545311,0.000545311
13,146.704,1.03066,0.72197,1.05748,0.92295,0.97975,0.98908,0.75993,0.8268,0.57997,0.974,0.00054143,0.00054143,0.00054143
14,157.287,1.00972,0.69484,1.05678,0.92628,0.99021,0.98798,0.76421,0.82775,0.55508,0.98379,0.00053755,0.00053755,0.00053755
15,167.714,0.99228,0.67289,1.03732,0.93153,0.99537,0.98483,0.76094,0.86105,0.56844,0.98402,0.000533669,0.000533669,0.000533669
16,177.525,0.95657,0.6441,1.02702,0.90569,0.99123,0.98798,0.77545,0.81216,0.54867,0.97825,0.000529788,0.000529788,0.000529788
17,188.051,0.9598,0.64522,1.02794,0.95062,0.99141,0.98029,0.73425,0.99621,0.59307,1.0646,0.000525907,0.000525907,0.000525907
18,198.75,0.94361,0.61564,1.02565,0.92439,0.99269,0.99126,0.79983,0.75446,0.49196,0.96854,0.000522026,0.000522026,0.000522026
19,209.553,0.93363,0.60692,1.00615,0.94577,0.96711,0.97758,0.78914,0.74418,0.57078,0.9575,0.000518146,0.000518146,0.000518146
20,220.176,0.93489,0.61838,1.01867,0.96669,0.94718,0.98868,0.79603,0.81642,0.50373,0.9773,0.000514265,0.000514265,0.000514265
21,229.993,0.94583,0.62473,1.01989,0.90072,0.97976,0.97796,0.79419,0.81809,0.57054,0.99552,0.000510384,0.000510384,0.000510384
22,240.248,0.90164,0.60593,1.01258,0.95364,0.98056,0.98997,0.81237,0.81384,0.48164,0.96335,0.000506503,0.000506503,0.000506503
