epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21524,1.95538,3.66332,1.40441,0.00311,0.66667,0.00904,0.00237,1.79737,3.7533,1.34815,8e-05,8e-05,8e-05
2,10.3497,1.90983,3.6735,1.36966,0.00463,1,0.008,0.00437,1.21611,3.51331,0.97928,0.000178218,0.000178218,0.000178218
3,12.2474,1.58632,3.14074,1.10697,0.00482,1,0.03147,0.01958,1.18668,3.55485,0.91847,0.000274456,0.000274456,0.000274456
4,14.0627,1.44231,2.19234,1.06368,0.00525,1,0.03731,0.0143,1.39148,3.48292,1.03978,0.000368714,0.000368714,0.000368714
5,15.6196,1.58638,1.56801,1.10171,0.00483,1,0.02887,0.0141,1.565,3.29981,1.02397,0.000460992,0.000460992,0.000460992
6,17.2875,1.47047,1.44946,1.16712,0.00439,1,0.02388,0.01228,1.38245,3.36166,1.02895,0.00055129,0.00055129,0.00055129
7,18.8164,1.47257,1.23131,1.11494,0.00465,1,0.01979,0.00925,1.36126,3.38731,1.05094,0.000639608,0.000639608,0.000639608
8,20.7285,1.37796,1.23299,1.05846,0.0048,1,0.00795,0.0039,1.59263,3.50487,1.17926,0.000725946,0.000725946,0.000725946
9,22.7008,1.43013,1.39786,1.10771,0.0042,1,0.01961,0.00986,1.30918,3.3367,1.05035,0.000810304,0.000810304,0.000810304
10,24.2118,1.56712,1.33036,1.18237,0.00287,1,0.02154,0.01042,1.27102,3.34852,0.95935,0.000892682,0.000892682,0.000892682
11,25.6697,1.52079,1.20722,1.12613,0.0024,1,0.0213,0.01132,1.32843,3.29346,0.97362,0.00097308,0.00097308,0.00097308
12,27.1326,1.44386,1.20819,1.13063,0.00221,0.93333,0.01864,0.00769,1.47536,3.53238,1.09499,0.0010515,0.0010515,0.0010515
13,28.5735,1.47857,1.10201,1.11572,0.00238,0.93333,0.01576,0.00742,1.63554,3.64724,1.12103,0.00112794,0.00112794,0.00112794
14,30.0046,1.35477,1.09509,1.11624,0.00265,1,0.02551,0.01479,1.25137,3.13329,1.07003,0.00120239,0.00120239,0.00120239
15,31.4408,1.38647,1.09133,1.16137,0.00324,1,0.19479,0.11496,1.40007,3.031,1.14,0.00127487,0.00127487,0.00127487
16,33.323,1.36686,1.06819,1.14375,0.04307,0.86667,0.56661,0.34403,1.30901,2.69644,1.13567,0.00134537,0.00134537,0.00134537
17,35.2471,1.30733,1.06073,1.14567,1,0.11709,0.81775,0.51987,1.25989,2.62997,1.09649,0.00141389,0.00141389,0.00141389
18,36.7147,1.35634,1.02175,1.07499,1,0.1743,0.91969,0.54998,1.43723,2.47132,1.06597,0.00148043,0.00148043,0.00148043
19,38.1726,1.30634,1.03704,1.10116,1,0.2398,0.90571,0.62497,1.19905,2.28438,1.04095,0.00154498,0.00154498,0.00154498
20,39.6782,1.26243,0.98144,1.09024,1,0.51322,0.985,0.63806,1.29157,1.85174,1.1335,0.00160756,0.00160756,0.00160756
21,41.1346,1.35114,0.95851,1.09193,1,0.90468,0.995,0.58286,1.49739,1.70949,1.18943,0.001604,0.001604,0.001604
22,42.5985,1.23497,0.90717,1.03787,0.86136,0.73333,0.87323,0.59087,1.2971,1.6288,1.0519,0.0015842,0.0015842,0.0015842
23,44.0503,1.25324,0.90404,1.05509,0.6401,0.6,0.71323,0.39458,1.46895,1.71441,1.16021,0.0015644,0.0015644,0.0015644
24,45.907,1.30148,0.89967,1.04874,0.90024,0.60176,0.85664,0.57946,1.12623,1.7834,0.99758,0.0015446,0.0015446,0.0015446
25,47.9036,1.32261,0.96281,1.08735,0.68737,0.73333,0.78768,0.44941,1.23735,1.84008,1.03307,0.0015248,0.0015248,0.0015248
26,49.3586,1.1962,0.85541,1.01576,0.8772,0.95326,0.96527,0.6765,1.18576,1.42143,0.99533,0.001505,0.001505,0.001505
27,50.8212,1.32225,0.91625,1.05676,0.89774,0.86667,0.95113,0.59989,1.37854,1.52047,1.07654,0.0014852,0.0014852,0.0014852
28,52.7991,1.36788,0.90289,1.07477,0.76354,0.64694,0.79385,0.48355,1.43068,1.76768,1.0577,0.0014654,0.0014654,0.0014654
29,54.5494,1.28114,0.87745,1.06632,0.96345,1,0.995,0.66864,1.22297,1.30237,0.97991,0.0014456,0.0014456,0.0014456
30,56.0544,1.34581,0.85848,1.05729,1,0.97111,0.995,0.72869,1.16764,1.10968,0.97177,0.0014258,0.0014258,0.0014258
31,57.4894,1.14562,0.85993,1.0118,0.8823,0.86667,0.96196,0.6721,1.25381,1.16621,0.97929,0.001406,0.001406,0.001406
32,59.6512,1.18109,0.86098,1.04198,1,0.86652,0.96763,0.69911,1.17234,1.00538,0.97415,0.0013862,0.0013862,0.0013862
