epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.86,1.74102,4.5439,1.20103,0.75763,0.10794,0.10274,0.05092,1.25814,3.69321,0.91855,0.000109876,0.000109876,0.000109876
2,44.6397,1.58637,2.99468,1.05249,0.41551,0.50048,0.50736,0.28718,1.45594,1.93854,1.00152,0.000219617,0.000219617,0.000219617
3,63.1157,1.53154,2.06723,1.06529,0.69967,0.80566,0.82515,0.50282,1.33094,1.27122,0.98362,0.00032789,0.00032789,0.00032789
4,81.4784,1.40411,1.61245,1.03995,0.80625,0.81965,0.89585,0.43773,1.7663,1.3536,1.09198,0.000434695,0.000434695,0.000434695
5,99.1943,1.369,1.42955,1.03315,0.90739,0.831,0.9445,0.60965,1.20653,0.95372,0.94993,0.000540033,0.000540033,0.000540033
6,116.614,1.34401,1.30174,1.02849,0.85465,0.87393,0.9586,0.68544,1.0753,1.02963,0.952,0.000537652,0.000537652,0.000537652
7,135.038,1.29285,1.19432,1.01274,0.88783,0.89983,0.94362,0.69055,1.04834,0.82687,0.92748,0.000533982,0.000533982,0.000533982
8,152.308,1.24213,1.118,0.99975,0.93097,0.95025,0.96652,0.62656,1.3094,0.8491,0.97547,0.000530313,0.000530313,0.000530313
9,169.706,1.21254,1.04722,0.99386,0.88918,0.92088,0.97487,0.72927,0.9478,0.77177,0.90731,0.000526643,0.000526643,0.000526643
10,187.749,1.18509,1.00786,0.98796,0.96207,0.94236,0.98177,0.72707,0.97462,0.67572,0.90938,0.000522974,0.000522974,0.000522974
11,204.891,1.189,0.95791,0.97484,0.94546,0.93792,0.97129,0.70802,0.99488,0.70998,0.91055,0.000519304,0.000519304,0.000519304
12,222.481,1.1383,0.90026,0.96917,0.93269,0.95445,0.97935,0.73372,0.95049,0.70222,0.90748,0.000515634,0.000515634,0.000515634
