epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.696,1.80972,4.76719,1.4062,0.4983,0.13413,0.06787,0.04371,1.3055,3.60371,1.12539,0.00199015,0.00199015,0.00199015
2,87.2194,1.63648,3.54514,1.25272,0.58212,0.37597,0.31419,0.17806,1.38696,2.10315,1.18573,0.00396381,0.00396381,0.00396381
3,125.695,1.55117,2.28256,1.24171,0.59521,0.58485,0.59802,0.40589,1.15928,1.40267,1.10825,0.00591108,0.00591108,0.00591108
4,163.027,1.51478,1.91057,1.22286,0.66423,0.64052,0.66162,0.3812,1.35121,1.42215,1.15054,0.00783194,0.00783194,0.00783194
5,200.351,1.56568,1.84626,1.25052,0.48094,0.55116,0.50775,0.20968,2.0786,2.25909,1.54996,0.00972641,0.00972641,0.00972641
6,237.814,1.63095,1.85902,1.30612,0.72676,0.63575,0.72802,0.40811,1.46288,1.50352,1.25847,0.00967,0.00967,0.00967
7,275.054,1.58279,1.68216,1.291,0.7032,0.70868,0.75964,0.44736,1.45386,1.3527,1.26258,0.009604,0.009604,0.009604
8,312.449,1.52699,1.5394,1.26841,0.84804,0.70554,0.83825,0.54531,1.25896,1.18397,1.16545,0.009538,0.009538,0.009538
9,349.295,1.46871,1.44705,1.25135,0.83517,0.7825,0.87636,0.41858,1.78975,1.16633,1.34688,0.009472,0.009472,0.009472
10,385.796,1.42145,1.32702,1.21941,0.82197,0.81983,0.89389,0.54548,1.32637,0.97924,1.18152,0.009406,0.009406,0.009406
11,422.122,1.39873,1.26556,1.20925,0.89364,0.80286,0.89339,0.57062,1.31345,0.9503,1.17707,0.00934,0.00934,0.00934
12,459.515,1.35825,1.19604,1.18701,0.89236,0.81492,0.89341,0.61156,1.07949,0.92995,1.07776,0.009274,0.009274,0.009274
13,496.774,1.34146,1.15926,1.1939,0.87949,0.84515,0.90777,0.61181,1.11048,0.80562,1.0791,0.009208,0.009208,0.009208
14,534.051,1.31392,1.11359,1.16817,0.89149,0.88443,0.91749,0.50677,1.61328,0.92029,1.28676,0.009142,0.009142,0.009142
15,571.055,1.30621,1.10286,1.16995,0.85909,0.87713,0.9179,0.64508,1.04934,0.77841,1.06601,0.009076,0.009076,0.009076
16,608.269,1.2672,1.0429,1.14529,0.90101,0.83468,0.92462,0.64978,1.03907,0.76708,1.06443,0.00901,0.00901,0.00901
17,644.95,1.2512,1.02182,1.13902,0.90259,0.90242,0.9437,0.66808,1.03952,0.71011,1.05369,0.008944,0.008944,0.008944
18,680.98,1.25912,1.00872,1.14469,0.87376,0.88198,0.94258,0.66142,1.00466,0.7255,1.04396,0.008878,0.008878,0.008878
19,717.544,1.22386,0.95737,1.1251,0.92188,0.91624,0.93988,0.68251,0.99915,0.68336,1.05791,0.008812,0.008812,0.008812
20,754.714,1.21132,0.94523,1.12972,0.93032,0.92717,0.95753,0.68758,0.98639,0.66218,1.04625,0.008746,0.008746,0.008746
21,791.794,1.2102,0.93904,1.1249,0.94728,0.89792,0.95332,0.70319,0.94458,0.68084,1.02311,0.00868,0.00868,0.00868
22,829.051,1.18622,0.90751,1.11442,0.94959,0.90856,0.9576,0.68934,0.93631,0.65897,1.01985,0.008614,0.008614,0.008614
23,866.18,1.17786,0.90416,1.1107,0.94213,0.92157,0.95182,0.67401,0.99016,0.62281,1.04495,0.008548,0.008548,0.008548
24,903.194,1.16909,0.8982,1.10823,0.92314,0.92076,0.95612,0.69447,0.99537,0.64195,1.03727,0.008482,0.008482,0.008482
25,940.127,1.14155,0.86985,1.10043,0.93361,0.94819,0.95804,0.70917,0.95966,0.6093,1.03517,0.008416,0.008416,0.008416
26,976.916,1.14961,0.85709,1.09389,0.92992,0.92669,0.96209,0.72291,0.90736,0.59104,1.00783,0.00835,0.00835,0.00835
27,1013.38,1.14084,0.85489,1.09577,0.93802,0.92225,0.9582,0.71908,0.91848,0.61046,1.00872,0.008284,0.008284,0.008284
28,1050.06,1.14785,0.85196,1.10307,0.93465,0.93352,0.96223,0.71597,0.91831,0.61319,1.01141,0.008218,0.008218,0.008218
29,1087.09,1.12998,0.82341,1.08967,0.95974,0.9478,0.96545,0.71367,0.93717,0.57272,1.00443,0.008152,0.008152,0.008152
30,1124.09,1.12208,0.82265,1.08074,0.93998,0.93552,0.96448,0.7176,0.91539,0.57929,1.00533,0.008086,0.008086,0.008086
31,1161.04,1.10329,0.80449,1.07459,0.9344,0.95294,0.96155,0.73513,0.87435,0.57403,0.99359,0.00802,0.00802,0.00802
32,1198.14,1.09969,0.80385,1.07231,0.95596,0.9393,0.96407,0.72951,0.90044,0.55205,1.00453,0.007954,0.007954,0.007954
33,1235.32,1.09661,0.78774,1.07516,0.94673,0.94327,0.96455,0.72605,0.8772,0.55907,0.99849,0.007888,0.007888,0.007888
34,1272.28,1.0815,0.77573,1.07024,0.95084,0.95225,0.96258,0.73417,0.87893,0.53212,0.9948,0.007822,0.007822,0.007822
35,1308.42,1.07584,0.7646,1.06735,0.95049,0.93843,0.9645,0.73163,0.8854,0.53895,0.99942,0.007756,0.007756,0.007756
36,1344.87,1.0786,0.7646,1.0655,0.95089,0.95148,0.96495,0.73687,0.8601,0.5398,0.99249,0.00769,0.00769,0.00769
37,1382.07,1.07615,0.77235,1.06775,0.94312,0.93828,0.9653,0.7374,0.8678,0.53136,0.99274,0.007624,0.007624,0.007624
38,1419.24,1.07203,0.75617,1.0666,0.93376,0.94638,0.96702,0.74038,0.85606,0.52357,0.98148,0.007558,0.007558,0.007558
39,1456.4,1.05713,0.75,1.05973,0.92689,0.95924,0.97045,0.73493,0.8714,0.52814,1.00144,0.007492,0.007492,0.007492
