epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1672,1.7929,4.70721,1.38607,0.9909,0.02339,0.05808,0.03822,1.14928,3.75151,1.02317,0.0019854,0.0019854,0.0019854
2,70.3624,1.59006,3.4082,1.25251,0.32416,0.41497,0.3167,0.21412,1.18887,2.03973,1.10699,0.0039591,0.0039591,0.0039591
3,99.0008,1.51404,2.286,1.21822,0.5819,0.59268,0.58835,0.32381,1.38887,1.52608,1.15851,0.00590639,0.00590639,0.00590639
4,125.959,1.50364,1.84528,1.2186,0.56263,0.65673,0.68652,0.44028,1.22733,1.40815,1.12274,0.00782729,0.00782729,0.00782729
5,153.07,1.53021,1.74825,1.23168,0.5957,0.57661,0.63209,0.38382,1.40139,2.42673,1.24882,0.00972179,0.00972179,0.00972179
6,180.293,1.566,1.75278,1.26897,0.69011,0.51056,0.64582,0.31964,1.78142,2.66194,1.45029,0.00967,0.00967,0.00967
7,207.516,1.50245,1.59333,1.25518,0.77974,0.66096,0.76798,0.48079,1.3026,2.15982,1.21485,0.009604,0.009604,0.009604
8,234.559,1.45988,1.46069,1.23267,0.81766,0.81965,0.92768,0.54625,1.327,1.03661,1.17081,0.009538,0.009538,0.009538
9,262.011,1.38435,1.35589,1.20476,0.71031,0.71743,0.76861,0.51889,1.17833,1.4264,1.13115,0.009472,0.009472,0.009472
10,289.292,1.36562,1.29432,1.19549,0.86643,0.88577,0.94871,0.64601,1.10472,0.85223,1.08086,0.009406,0.009406,0.009406
11,316.472,1.32389,1.22781,1.18264,0.81209,0.89505,0.94485,0.63389,1.17998,0.9519,1.09964,0.00934,0.00934,0.00934
12,343.58,1.30164,1.17885,1.16682,0.89544,0.83464,0.92219,0.61917,1.08966,0.86661,1.09262,0.009274,0.009274,0.009274
13,370.458,1.27983,1.13042,1.15876,0.9253,0.88188,0.94951,0.69726,0.99707,0.77366,1.04968,0.009208,0.009208,0.009208
