epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7057,1.77485,4.68944,1.36921,0.37712,0.08256,0.06616,0.04067,1.26233,3.41981,1.11243,0.00198901,0.00198901,0.00198901
2,79.6066,1.59643,3.32661,1.24598,0.28271,0.35489,0.31579,0.20717,1.3569,1.96972,1.15345,0.00396927,0.00396927,0.00396927
3,115.929,1.53524,2.17757,1.22187,0.57813,0.68671,0.65964,0.42456,1.31121,1.47954,1.14546,0.00592972,0.00592972,0.00592972
4,150.084,1.49854,1.80851,1.20451,0.75,0.68349,0.78615,0.47856,1.24779,1.42062,1.0975,0.00787037,0.00787037,0.00787037
5,185.149,1.53827,1.76149,1.22015,0.59302,0.70596,0.71926,0.39392,1.52716,2.04677,1.3171,0.00979123,0.00979123,0.00979123
6,220.166,1.59931,1.79779,1.28306,0.73927,0.65148,0.73352,0.41067,1.52601,1.47729,1.29539,0.0097525,0.0097525,0.0097525
7,254.27,1.53213,1.6176,1.25436,0.77308,0.71111,0.80202,0.50204,1.25897,1.15827,1.12466,0.009703,0.009703,0.009703
8,289.02,1.48365,1.4922,1.23228,0.74463,0.78829,0.84945,0.52114,1.34386,1.15886,1.1737,0.0096535,0.0096535,0.0096535
9,323.846,1.4413,1.4041,1.21168,0.80044,0.78992,0.87492,0.60179,1.14574,1.00247,1.08051,0.009604,0.009604,0.009604
10,357.988,1.39553,1.32272,1.19052,0.83835,0.8572,0.90855,0.61967,1.08358,0.8754,1.05212,0.0095545,0.0095545,0.0095545
11,392.384,1.35279,1.23903,1.17546,0.8453,0.86585,0.91426,0.64221,1.08354,0.91616,1.06389,0.009505,0.009505,0.009505
12,427.281,1.32696,1.1853,1.1669,0.84115,0.83839,0.90242,0.62781,1.09915,0.87861,1.06187,0.0094555,0.0094555,0.0094555
13,461.531,1.3009,1.13005,1.14428,0.91675,0.90139,0.94152,0.63563,1.09641,0.76899,1.0467,0.009406,0.009406,0.009406
14,495.89,1.27486,1.10056,1.13369,0.8381,0.84915,0.90952,0.6476,1.0331,0.79767,1.02407,0.0093565,0.0093565,0.0093565
15,531.192,1.25341,1.06427,1.12411,0.82862,0.85317,0.92292,0.64113,1.05722,0.82216,1.0476,0.009307,0.009307,0.009307
16,566.434,1.2386,1.03623,1.1131,0.93231,0.87371,0.93594,0.66592,1.00099,0.73247,1.0101,0.0092575,0.0092575,0.0092575
17,600.26,1.21944,0.98372,1.10843,0.87402,0.84562,0.93043,0.66794,1.00701,0.75224,1.02218,0.009208,0.009208,0.009208
18,635.004,1.19449,0.96016,1.10243,0.8788,0.89343,0.9425,0.68498,0.97516,0.73944,1.00936,0.0091585,0.0091585,0.0091585
